,Economic_Freedom_Summary_Index
0,7.6
1,4.82
2,5.38
3,4.77
4,7.58
5,8.05
6,7.69
7,5.99
8,6.55
9,7.44
10,5.81
11,6.94
12,6.23
13,7.43
14,5.91
15,6.41
16,6.62
17,6.08
18,6.66
19,6.84
20,6.58
21,7.12
22,7.46
23,6.14
24,5.4
25,7.38
26,6.82
27,5.72
28,7.98
29,5.01
30,5.31
31,7.66
32,6.18
33,6.6
34,5.63
35,5.33
36,4.85
37,7.76
38,6.04
39,7.25
40,7.57
41,7.81
42,8.1
43,5.79
44,7.3
45,6.46
46,5.47
47,7.11
48,7.95
49,5.33
50,5.44
51,6.32
52,7.81
53,7.4
54,5.41
55,7.11
56,7.71
57,7.73
58,6.41
59,6.94
60,7.5
61,5.62
62,5.53
63,5.43
64,6.15
65,6.97
66,8.55
67,7.36
68,7.93
69,6.62
70,6.93
71,4.53
72,5.49
73,8.11
74,7.57
75,7.25
76,7.46
77,7.79
78,7.3
79,7.13
80,6.82
81,7.47
82,6.63
83,6.88
84,6.24
85,7.71
86,5.15
87,5.95
88,5.82
89,4.65
90,7.95
91,7.91
92,5.92
93,5.87
94,7.19
95,5.8
96,7.73
97,5.78
98,7.82
99,7.02
100,7.18
101,7.04
102,7.59
103,6.42
104,6.03
105,5.33
106,6.16
107,6.3
108,7.76
109,8.43
110,6.52
111,5.8
112,6.67
113,7.06
114,7.67
115,6.58
116,5.98
117,7.51
118,6.05
119,7.02
120,7.52
121,7.01
122,7.12
123,7.54
124,6.58
125,7.7
126,6.28
127,6.77
128,6.64
129,6.2
130,6.85
131,7.12
132,5.91
133,8.56
134,7.49
135,7.23
136,5.66
137,6.53
138,7.52
139,6.13
140,3.98
141,5.52
142,7.81
143,8.47
144,3.9
145,7.97
146,6.38
147,6.27
148,7.07
149,5.82
150,6.24
151,6.63
152,6.02
153,6.32
154,6.64
155,6.17
156,7.35
157,8.01
158,8.14
159,7.06
160,3.01
161,6.26
162,4.18
163,5.84
164,3.81
165,7.59
166,4.94
167,5.53
168,4.72
169,7.62
170,8.05
171,7.63
172,5.94
173,6.61
174,7.38
175,5.79
176,6.96
177,6.44
178,7.45
179,5.94
180,6.35
181,6.64
182,6.04
183,6.67
184,6.81
185,6.47
186,7.25
187,7.54
188,6.15
189,5.45
190,7.44
191,6.88
192,5.7
193,7.86
194,4.96
195,5.46
196,7.73
197,6.17
198,6.53
199,5.73
200,5.29
201,4.92
202,7.61
203,6.04
204,7.05
205,7.52
206,7.74
207,8.16
208,5.96
209,7.32
210,6.39
211,5.37
212,7.16
213,8.04
214,5.24
215,5.51
216,6.12
217,7.8
218,7.39
219,5.33
220,7.22
221,7.66
222,7.78
223,6.43
224,6.78
225,7.55
226,5.64
227,5.45
228,5.66
229,6.41
230,6.97
231,8.62
232,7.21
233,7.89
234,6.64
235,6.88
236,4.58
237,5.64
238,7.95
239,7.39
240,7.34
241,7.36
242,7.84
243,7.32
244,7.18
245,6.68
246,7.45
247,6.64
248,6.92
249,6.3
250,7.74
251,5.65
252,5.94
253,5.65
254,4.52
255,7.83
256,7.82
257,5.93
258,5.7
259,7.28
260,5.82
261,7.76
262,5.92
263,7.89
264,7.1
265,6.96
266,7.17
267,7.48
268,6.48
269,6.02
270,5.66
271,6.11
272,6.34
273,7.79
274,8.47
275,6.58
276,5.88
277,6.43
278,7.08
279,7.7
280,6.55
281,5.96
282,7.53
283,6.1
284,7.02
285,7.58
286,7.02
287,7.06
288,7.57
289,6.87
290,7.62
291,6.44
292,6.75
293,6.65
294,6.15
295,6.78
296,7.16
297,5.97
298,8.5
299,7.4
300,7.08
301,5.79
302,6.5
303,7.57
304,6.38
305,3.88
306,6.12
307,7.68
308,8.41
309,4.14
310,7.98
311,6.43
312,6.37
313,6.95
314,5.99
315,6.23
316,6.9
317,5.99
318,6.49
319,6.88
320,6.16
321,7.35
322,7.82
323,8.11
324,7.05
325,2.96
326,6.19
327,4.99
328,6.1
329,4.0
330,7.71
331,4.64
332,5.21
333,5.45
334,7.69
335,8.2
336,7.89
337,6.14
338,7.11
339,7.32
340,5.89
341,6.97
342,6.41
343,7.67
344,6.29
345,6.45
346,6.84
347,6.17
348,6.84
349,6.89
350,6.73
351,7.25
352,7.67
353,6.24
354,5.38
355,7.51
356,7.07
357,5.74
358,8.09
359,5.2
360,5.49
361,8.05
362,6.23
363,6.77
364,5.84
365,5.04
366,4.94
367,7.66
368,6.19
369,7.3
370,7.86
371,7.98
372,8.32
373,6.0
374,7.46
375,6.56
376,5.48
377,7.34
378,8.18
379,5.52
380,5.7
381,6.25
382,8.04
383,7.64
384,5.4
385,6.97
386,7.98
387,8.0
388,6.59
389,7.09
390,7.71
391,5.72
392,5.68
393,5.89
394,6.51
395,7.13
396,8.95
397,7.45
398,8.05
399,6.68
400,7.1
401,4.86
402,5.46
403,8.24
404,7.67
405,7.53
406,7.58
407,7.96
408,7.36
409,7.35
410,6.71
411,7.62
412,6.62
413,7.06
414,6.41
415,7.91
416,6.44
417,5.98
418,5.88
419,4.07
420,8.18
421,8.12
422,6.18
423,5.6
424,7.4
425,5.88
426,8.02
427,6.28
428,8.15
429,7.15
430,7.21
431,7.28
432,7.51
433,6.63
434,6.4
435,5.6
436,6.26
437,6.56
438,8.0
439,8.72
440,6.76
441,5.83
442,6.73
443,7.13
444,7.86
445,6.59
446,6.0
447,7.75
448,6.1
449,7.14
450,7.81
451,7.2
452,7.29
453,7.81
454,6.93
455,7.79
456,6.64
457,7.03
458,6.71
459,6.31
460,7.11
461,7.49
462,6.06
463,8.8
464,7.67
465,7.47
466,5.63
467,6.69
468,7.86
469,6.64
470,3.46
471,6.22
472,7.81
473,8.51
474,5.13
475,8.14
476,6.4
477,6.39
478,6.99
479,6.11
480,6.32
481,7.07
482,5.81
483,6.51
484,7.06
485,6.24
486,7.25
487,8.2
488,8.35
489,7.31
490,2.47
491,6.15
492,5.04
493,6.39
494,5.09
495,7.69
496,4.71
497,4.57
498,5.85
499,7.69
500,8.31
501,7.91
502,6.21
503,7.12
504,7.27
505,5.93
506,6.53
507,6.09
508,7.67
509,6.28
510,6.3
511,6.81
512,6.19
513,6.89
514,6.88
515,6.74
516,7.24
517,7.71
518,5.98
519,5.35
